freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,A,SEC,LI	: 	: 	: 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,A,SEC,LT	: 	: 	: 	0 	12 	0 	11 	0 	5 
A,T,HAZ_NHAZ,A,SEC,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,LV	: 	: 	: 	0 	0 	0 	0 	0 	28962 
A,T,HAZ_NHAZ,A,SEC,ME	: 	: 	: 	: 	0 	0 	46 	0 	0 
A,T,HAZ_NHAZ,A,SEC,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,MT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,NL	: 	: 	: 	0 	0 	87 	95 	16 	6129 
A,T,HAZ_NHAZ,A,SEC,NO	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,PL	: 	: 	: 	48890 	74035 	174 	867 	5896 	16000 
A,T,HAZ_NHAZ,A,SEC,PT	: 	: 	: 	0 	2 	0 	7 	6 	0 
A,T,HAZ_NHAZ,A,SEC,RO	: 	: 	: 	0 	85 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,RS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,SE	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,SI	: 	: 	: 	5 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,SK	: 	: 	: 	82 	66 	37 	12301 	14005 	10233 
A,T,HAZ_NHAZ,A,SEC,TR	: 	: 	: 	: 	: 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,SEC,UK	: 	: 	: 	31502 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,A,SEC,XK	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,TOTAL,AT	468629 	512872 	459096 	550439 	179044 	128124 	129834 	139870 	168233 
A,T,HAZ_NHAZ,A,TOTAL,BA	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,TOTAL,BE	1186648 	361827 	287656 	225622 	165463 	311835 	269190 	362508 	417301 
A,T,HAZ_NHAZ,A,TOTAL,BG	722228 	632966 	754286 	618107 	903119 	835401 	617689 	308760 	892764 
A,T,HAZ_NHAZ,A,TOTAL,CY	378416 	131541 	126651 	129184 	18203 	19856 	19453 	19783 	21156 
A,T,HAZ_NHAZ,A,TOTAL,CZ	1244149 	315585 	254546 	113683 	196063 	135313 	114575 	411533 b	398041 
A,T,HAZ_NHAZ,A,TOTAL,DE	1226989 	1515272 	1350758 	256272 	648869 	438829 	1126134 	982106 	1004332 
A,T,HAZ_NHAZ,A,TOTAL,DK	24038 	27550 	40731 	189101 	75225 	117682 	201648 	373978 	389498 
A,T,HAZ_NHAZ,A,TOTAL,EE	183860 	118829 	240005 	109873 	77404 	121677 	113946 	138195 	195258 
A,T,HAZ_NHAZ,A,TOTAL,EL	4711294 	4711294 	0 	5073 	9979 	10976 	255169 	466119 	644283 
A,T,HAZ_NHAZ,A,TOTAL,ES	17986083 	15152405 	11355660 	5816630 	5496458 	5817439 	6271464 	6258251 	6330651 
A,T,HAZ_NHAZ,A,TOTAL,FI	1537025 	2038408 	2738973 	2772031 	3157813 	4471 	0 	0 	0 
A,T,HAZ_NHAZ,A,TOTAL,FR	1221940 	1221940 	1312890 	1371625 	1290136 	1274216 	1303642 	1309912 	1291230 
A,T,HAZ_NHAZ,A,TOTAL,HR	121133 	72167 	18679 	14223 	75096 	269111 	496153 	550471 	565300 
A,T,HAZ_NHAZ,A,TOTAL,HU	3999629 	1997533 	336865 	487655 	460047 	520961 	484320 	449607 	295152 
A,T,HAZ_NHAZ,A,TOTAL,IE	8706 	0 	19376 	101143 	96251 	96251 	105033 	296865 	275414 
A,T,HAZ_NHAZ,A,TOTAL,IS	78559 	: 	: 	72071 	82097 	28885 	38357 	47418 	39084 
A,T,HAZ_NHAZ,A,TOTAL,IT	615288 	558481 	349096 	310912 	407979 	323518 	320928 	332554 	348501 
A,T,HAZ_NHAZ,A,TOTAL,LI	: 	: 	615 	306 	0 	0 	22 	0 	: 
A,T,HAZ_NHAZ,A,TOTAL,LT	874218 	874219 	786069 	455856 	481708 	421071 	280625 	293676 	301722 
A,T,HAZ_NHAZ,A,TOTAL,LU	11324 	11324 	2486 	2547 	1381 	3094 	30890 	8330 	11445 
A,T,HAZ_NHAZ,A,TOTAL,LV	208465 	96126 	74660 	68024 	2767 	36209 	144075 	132746 	133282 
A,T,HAZ_NHAZ,A,TOTAL,ME	: 	: 	: 	: 	14144 	10712 	33290 	14749 	10987 
A,T,HAZ_NHAZ,A,TOTAL,MK	: 	: 	0 	0 	23 	84366 	40 	0 	121 
A,T,HAZ_NHAZ,A,TOTAL,MT	36 	7 	2667 	2888 	2709 	3018 	10565 	12292 	11851 
A,T,HAZ_NHAZ,A,TOTAL,NL	2392596 	2659520 	3468475 	4682517 	4618778 	4769683 	5085249 	4678699 	4896548 
A,T,HAZ_NHAZ,A,TOTAL,NO	148558 	172417 	184332 	195252 	150003 	192189 	161946 	174257 	158562 
A,T,HAZ_NHAZ,A,TOTAL,PL	1522976 	1522976 	1350163 	603472 	884425 	492106 	534931 	431500 	281119 
A,T,HAZ_NHAZ,A,TOTAL,PT	694144 	213722 	74760 	68829 	63215 	50294 	55520 	62073 b	94347 
A,T,HAZ_NHAZ,A,TOTAL,RO	21019098 	21019098 	19204236 	608062 	470756 	559573 	507712 	584619 	720130 
A,T,HAZ_NHAZ,A,TOTAL,RS	: 	: 	: 	0 	0 	0 	101675 	82473 	89033 
A,T,HAZ_NHAZ,A,TOTAL,SE	314317 	314317 	314314 	308946 	273071 	655374 	804382 	962141 e	1045928 e
A,T,HAZ_NHAZ,A,TOTAL,SI	76497 	214335 	132159 	141285 	164761 	102716 	63248 	61665 	55730 
A,T,HAZ_NHAZ,A,TOTAL,SK	605600 	741965 	788788 	525604 	549391 	574396 	788559 	529786 	562354 
A,T,HAZ_NHAZ,A,TOTAL,TR	0 	0 	0 	: 	: 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,TOTAL,UK	719198 	666485 	681314 	464297 	610133 	612429 	576195 	616865 	: 
A,T,HAZ_NHAZ,A,TOTAL,XK	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,TOT_X_MIN,AT	468588 	512823 	459051 	523811 	178848 	127855 	: c	139384 	167736 
A,T,HAZ_NHAZ,A,TOT_X_MIN,BA	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,TOT_X_MIN,BE	1165537 	232064 	197100 	194506 	147961 	276471 	215285 	287241 	347539 
A,T,HAZ_NHAZ,A,TOT_X_MIN,BG	657925 	621042 	753976 	617725 	903061 	835294 	616986 	308578 	891906 
A,T,HAZ_NHAZ,A,TOT_X_MIN,CY	378416 	131411 	126653 	129184 	18133 	19789 	19369 	19783 	21156 
A,T,HAZ_NHAZ,A,TOT_X_MIN,CZ	457459 	254427 	218164 	96301 	168517 	117235 	77259 	226565 b	218701 
A,T,HAZ_NHAZ,A,TOT_X_MIN,DE	1226411 	1515272 	1350758 	243328 	608249 	386534 	1074518 	939008 	976418 
A,T,HAZ_NHAZ,A,TOT_X_MIN,DK	23159 	25585 	36642 	111844 	73361 	116451 	201567 	373799 	389433 
A,T,HAZ_NHAZ,A,TOT_X_MIN,EE	177209 	116728 	237462 	109407 	70359 	110045 	97504 	113325 	160779 
A,T,HAZ_NHAZ,A,TOT_X_MIN,EL	4711294 	4711294 	0 	5073 	9979 	10976 	239625 	463575 	644077 
A,T,HAZ_NHAZ,A,TOT_X_MIN,ES	17925740 	15133200 	11346680 	5809271 	5489855 	5809997 	6263415 	6250178 	6322439 
A,T,HAZ_NHAZ,A,TOT_X_MIN,FI	1537025 	2037288 	2738660 	2772019 	3157813 	4449 	0 	0 	0 
A,T,HAZ_NHAZ,A,TOT_X_MIN,FR	1221940 	1221940 	1312830 	1371422 	1290121 	1274216 	1303633 	1309853 	1291212 
A,T,HAZ_NHAZ,A,TOT_X_MIN,HR	121129 	72165 	18675 	20198 	75057 	269004 	496121 	550416 	565240 
A,T,HAZ_NHAZ,A,TOT_X_MIN,HU	3980493 	1968329 	327993 	480092 	438431 	497539 	482293 	427294 	287421 
A,T,HAZ_NHAZ,A,TOT_X_MIN,IE	8706 	3959 	19376 	101143 	96251 	96251 	105033 	296865 	275414 
A,T,HAZ_NHAZ,A,TOT_X_MIN,IS	78559 	: 	: 	71860 	81985 	15131 	19342 	23060 	22564 
A,T,HAZ_NHAZ,A,TOT_X_MIN,IT	607305 	519450 	294015 	296659 	400540 	321897 	319646 	331516 	347798 
A,T,HAZ_NHAZ,A,TOT_X_MIN,LI	: 	: 	528 	306 	0 	0 	22 	0 	: 
A,T,HAZ_NHAZ,A,TOT_X_MIN,LT	862980 	862980 	753666 	430187 	458051 	395365 	278501 	291684 	298854 
A,T,HAZ_NHAZ,A,TOT_X_MIN,LU	11149 	11149 	2445 	2478 	1167 	2098 	30427 	4406 	10075 
A,T,HAZ_NHAZ,A,TOT_X_MIN,LV	208465 	96126 	74658 	68025 	2767 	36209 	119322 	123710 	115073 
A,T,HAZ_NHAZ,A,TOT_X_MIN,ME	: 	: 	: 	: 	14144 	10712 	33290 	14749 	10987 
A,T,HAZ_NHAZ,A,TOT_X_MIN,MK	: 	: 	0 	0 	23 	84366 	5 	0 	121 
A,T,HAZ_NHAZ,A,TOT_X_MIN,MT	37 	7 	2667 	2887 	2707 	3015 	10565 	12292 	11850 
A,T,HAZ_NHAZ,A,TOT_X_MIN,NL	2386662 	2652085 	3452957 	4591840 	4457575 	4617880 	4890954 	4430362 	4686127 
A,T,HAZ_NHAZ,A,TOT_X_MIN,NO	148552 	172406 	184285 	195150 	149967 	192108 	161895 	174002 	158305 
A,T,HAZ_NHAZ,A,TOT_X_MIN,PL	1498157 	1498157 	1302501 	591645 	861199 	449235 	528012 	376873 	247651 
A,T,HAZ_NHAZ,A,TOT_X_MIN,PT	693723 	213482 	74370 	68690 	62422 	44381 	53719 	53067 	78604 
A,T,HAZ_NHAZ,A,TOT_X_MIN,RO	21019098 	21019098 	19204236 	608062 	470756 	559573 	507712 	584619 	720130 
A,T,HAZ_NHAZ,A,TOT_X_MIN,RS	: 	: 	: 	0 	0 	0 	101442 	82473 	89033 
A,T,HAZ_NHAZ,A,TOT_X_MIN,SE	314317 	314317 	314317 	308946 	273071 	655374 	804382 	962141 e	1045928 e
A,T,HAZ_NHAZ,A,TOT_X_MIN,SI	75738 	214068 	114961 	141056 	164552 	102365 	63138 	53940 	49672 
