freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,C10-C12,W06,ES	505572 	47413 	36611 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,FI	3921 	4354 	7289 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,FR	52000 	56000 	55000 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,HR	594 	4075 	1444 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,HU	23364 	11459 	38213 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,IE	2571 	2421 	30581 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,IS	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,IT	18799 	36550 	1868 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,LI	: 	: 	320 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,LT	3407 	3594 	4408 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,LU	185 	211 	133 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,LV	683 	1055 	10187 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,MK	: 	: 	183 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,MT	0 	39 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,NL	14390 	23942 	25707 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,NO	5387 	8742 	9279 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,PL	34484 	21606 	32638 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,PT	7025 	43353 	7414 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,RO	3645 	10626 	10532 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,SE	6618 	6618 	6618 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,SI	1008 	1651 	2135 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,SK	4480 	3516 	2455 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,TR	13146 	0 	12730 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06,UK	53132 	71595 	66878 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W061,AT	: 	: 	: 	26490 	7118 	6538 	7435 	9194 	8652 
A,T,HAZ_NHAZ,C10-C12,W061,BA	: 	: 	: 	: 	107 	187 	247 	206 	220 
A,T,HAZ_NHAZ,C10-C12,W061,BE	: 	: 	: 	13358 	8997 	13760 	7967 	7978 	7632 
A,T,HAZ_NHAZ,C10-C12,W061,BG	: 	: 	: 	3330 	6491 	2986 	19030 	8271 	3814 
A,T,HAZ_NHAZ,C10-C12,W061,CY	: 	: 	: 	289 	125 	108 	288 	321 	374 
A,T,HAZ_NHAZ,C10-C12,W061,CZ	: 	: 	: 	4099 	4342 	5460 	5040 	12753 b	6978 
A,T,HAZ_NHAZ,C10-C12,W061,DE	: 	: 	: 	875 	4188 	4078 	2222 	2321 	7083 
A,T,HAZ_NHAZ,C10-C12,W061,DK	: 	: 	: 	1137 	411 	316 	489 	685 	868 
A,T,HAZ_NHAZ,C10-C12,W061,EE	: 	: 	: 	2259 	1070 	486 	838 	798 	671 
A,T,HAZ_NHAZ,C10-C12,W061,EL	: 	: 	: 	2394 	1430 	18 	411 	2958 	3781 
A,T,HAZ_NHAZ,C10-C12,W061,ES	: 	: 	: 	11586 	11065 	7907 	6586 	4338 	10058 
A,T,HAZ_NHAZ,C10-C12,W061,FI	: 	: 	: 	213 	250 	247 	427 	393 	594 
A,T,HAZ_NHAZ,C10-C12,W061,FR	: 	: 	: 	26129 	32350 	31932 	28711 	29423 	91517 
A,T,HAZ_NHAZ,C10-C12,W061,HR	: 	: 	: 	1613 	54 	19 	65 	15 	46 
A,T,HAZ_NHAZ,C10-C12,W061,HU	: 	: 	: 	20605 	8893 	5511 	2619 	2446 	2784 
A,T,HAZ_NHAZ,C10-C12,W061,IE	: 	: 	: 	3209 	979 	4178 	1912 	1299 	740 
A,T,HAZ_NHAZ,C10-C12,W061,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W061,IT	: 	: 	: 	549 	0 	346 	946 	306 	303 
A,T,HAZ_NHAZ,C10-C12,W061,LI	: 	: 	: 	240 	141 	194 	282 	66 	: 
A,T,HAZ_NHAZ,C10-C12,W061,LT	: 	: 	: 	3313 	1433 	1808 	2477 	3316 	1963 
A,T,HAZ_NHAZ,C10-C12,W061,LU	: 	: 	: 	21 	42 	27 	191 	218 	394 
A,T,HAZ_NHAZ,C10-C12,W061,LV	: 	: 	: 	65 	61 	48 	15 	25 	4 
A,T,HAZ_NHAZ,C10-C12,W061,ME	: 	: 	: 	: 	30 	88 	5 	13 	2 
A,T,HAZ_NHAZ,C10-C12,W061,MK	: 	: 	: 	107 	10 	0 	0 	0 	43 
A,T,HAZ_NHAZ,C10-C12,W061,MT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W061,NL	: 	: 	: 	8401 	13045 	10019 	5652 	4090 	2897 
A,T,HAZ_NHAZ,C10-C12,W061,NO	: 	: 	: 	0 	583 e	1469 e	7973 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W061,PL	: 	: 	: 	16860 	22354 	15555 	17364 	26914 	20288 
A,T,HAZ_NHAZ,C10-C12,W061,PT	: 	: 	: 	2448 	2552 	1815 	1613 	2184 b	3342 
A,T,HAZ_NHAZ,C10-C12,W061,RO	: 	: 	: 	2832 	4707 	2488 	3193 	4616 	3353 
A,T,HAZ_NHAZ,C10-C12,W061,RS	: 	: 	: 	1497 	2001 	1928 	2449 	2130 	3407 
A,T,HAZ_NHAZ,C10-C12,W061,SE	: 	: 	: 	320 	308 	762 	: c	3851 	741 
A,T,HAZ_NHAZ,C10-C12,W061,SI	: 	: 	: 	109 	189 	1160 	613 	673 	650 
A,T,HAZ_NHAZ,C10-C12,W061,SK	: 	: 	: 	1110 	1042 	977 	1258 	1184 	932 
A,T,HAZ_NHAZ,C10-C12,W061,TR	: 	: 	: 	7600 	10042 	9722 	10333 	4351 	3488 
A,T,HAZ_NHAZ,C10-C12,W061,UK	: 	: 	: 	1173 	6663 	505 	0 	100 	: 
A,T,HAZ_NHAZ,C10-C12,W061,XK	: 	: 	: 	: 	0 	0 	2 	1 	0 
A,T,HAZ_NHAZ,C10-C12,W062,AT	: 	: 	: 	2838 	1082 	1453 	2076 	1491 	2333 
A,T,HAZ_NHAZ,C10-C12,W062,BA	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W062,BE	: 	: 	: 	1049 	574 	4081 	656 	714 	857 
A,T,HAZ_NHAZ,C10-C12,W062,BG	: 	: 	: 	36 	9 	40 	18 	15 	389 
A,T,HAZ_NHAZ,C10-C12,W062,CY	: 	: 	: 	55 	259 	109 	39 	41 	125 
A,T,HAZ_NHAZ,C10-C12,W062,CZ	: 	: 	: 	128 	116 	163 	108 	218 b	241 
A,T,HAZ_NHAZ,C10-C12,W062,DE	: 	: 	: 	57 	320 	267 	105 	86 	768 
A,T,HAZ_NHAZ,C10-C12,W062,DK	: 	: 	: 	46 	8 	10 	32 	31 	36 
A,T,HAZ_NHAZ,C10-C12,W062,EE	: 	: 	: 	12 	3 	2 	17 	4 	4 
A,T,HAZ_NHAZ,C10-C12,W062,EL	: 	: 	: 	195 	162 	14 	23 	35 	35 
A,T,HAZ_NHAZ,C10-C12,W062,ES	: 	: 	: 	842 	3323 	881 	685 	533 	705 
A,T,HAZ_NHAZ,C10-C12,W062,FI	: 	: 	: 	240 	197 	38 	96 	49 	72 
A,T,HAZ_NHAZ,C10-C12,W062,FR	: 	: 	: 	4893 	2710 	2675 	6694 	6860 	7353 
A,T,HAZ_NHAZ,C10-C12,W062,HR	: 	: 	: 	72 	56 	42 	46 	50 	2 
A,T,HAZ_NHAZ,C10-C12,W062,HU	: 	: 	: 	43 	279 	110 	126 	145 	75 
A,T,HAZ_NHAZ,C10-C12,W062,IE	: 	: 	: 	0 	79 	13 	3 	28 	43 
A,T,HAZ_NHAZ,C10-C12,W062,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W062,IT	: 	: 	: 	131 	0 	100 	195 	120 	168 
A,T,HAZ_NHAZ,C10-C12,W062,LI	: 	: 	: 	0 	1 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C10-C12,W062,LT	: 	: 	: 	118 	85 	83 	43 	204 	106 
A,T,HAZ_NHAZ,C10-C12,W062,LU	: 	: 	: 	1 	1 	1 	178 	17 	19 
A,T,HAZ_NHAZ,C10-C12,W062,LV	: 	: 	: 	0 	12 	9 	0 	0 	1 
A,T,HAZ_NHAZ,C10-C12,W062,ME	: 	: 	: 	: 	8 	0 	2 	25 	4 
A,T,HAZ_NHAZ,C10-C12,W062,MK	: 	: 	: 	2 	0 	0 	322 	0 	1 
A,T,HAZ_NHAZ,C10-C12,W062,MT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W062,NL	: 	: 	: 	390 	250 	172 	212 	158 	138 
A,T,HAZ_NHAZ,C10-C12,W062,NO	: 	: 	: 	0 	36 e	90 e	17929 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W062,PL	: 	: 	: 	170 	185 	284 	492 	375 	118 
A,T,HAZ_NHAZ,C10-C12,W062,PT	: 	: 	: 	72 	142 	59 	172 	257 b	161 
A,T,HAZ_NHAZ,C10-C12,W062,RO	: 	: 	: 	105 	79 	46 	60 	39 	55 
A,T,HAZ_NHAZ,C10-C12,W062,RS	: 	: 	: 	50 	5 	111 	44 	37 	15 
A,T,HAZ_NHAZ,C10-C12,W062,SE	: 	: 	: 	19 	31 	62 	: c	153 	4757 
A,T,HAZ_NHAZ,C10-C12,W062,SI	: 	: 	: 	2 	10 	36 	50 	29 	73 
A,T,HAZ_NHAZ,C10-C12,W062,SK	: 	: 	: 	29 	24 	18 	114 	72 	20 
A,T,HAZ_NHAZ,C10-C12,W062,TR	: 	: 	: 	1552 	2518 	1713 	2210 	620 	295 
A,T,HAZ_NHAZ,C10-C12,W062,UK	: 	: 	: 	98 	6471 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C10-C12,W062,XK	: 	: 	: 	: 	0 	0 	3 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W063,AT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W063,BA	: 	: 	: 	: 	248 	91 	90 	107 	55 
A,T,HAZ_NHAZ,C10-C12,W063,BE	: 	: 	: 	9413 	7424 	8192 	10343 	9385 	8611 
A,T,HAZ_NHAZ,C10-C12,W063,BG	: 	: 	: 	868 	829 	3375 	865 	1265 	7885 
A,T,HAZ_NHAZ,C10-C12,W063,CY	: 	: 	: 	78 	62 	92 	103 	102 	38 
A,T,HAZ_NHAZ,C10-C12,W063,CZ	: 	: 	: 	685 	660 	363 	308 	526 b	566 
A,T,HAZ_NHAZ,C10-C12,W063,DE	: 	: 	: 	5531 	3433 	4642 	6159 	3840 	3381 
A,T,HAZ_NHAZ,C10-C12,W063,DK	: 	: 	: 	3800 	4639 	3246 	3299 	2965 	3800 
A,T,HAZ_NHAZ,C10-C12,W063,EE	: 	: 	: 	335 	211 	229 	283 	145 	137 
A,T,HAZ_NHAZ,C10-C12,W063,EL	: 	: 	: 	9246 	15022 	2896 	2393 	7014 	7178 
A,T,HAZ_NHAZ,C10-C12,W063,ES	: 	: 	: 	22952 	21451 	16991 	16973 	15765 	17859 
A,T,HAZ_NHAZ,C10-C12,W063,FI	: 	: 	: 	9998 	11087 	42263 	1472 	1998 	3748 
A,T,HAZ_NHAZ,C10-C12,W063,FR	: 	: 	: 	23540 	18560 	18320 	22064 	22611 	45927 
A,T,HAZ_NHAZ,C10-C12,W063,HR	: 	: 	: 	432 	164 	271 	295 	344 	405 
A,T,HAZ_NHAZ,C10-C12,W063,HU	: 	: 	: 	2377 	2559 	1010 	596 	1772 	1587 
A,T,HAZ_NHAZ,C10-C12,W063,IE	: 	: 	: 	5325 	6902 	5784 	4456 	4069 	6246 
A,T,HAZ_NHAZ,C10-C12,W063,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W063,IT	: 	: 	: 	23418 	2440 	15132 	18697 	18362 	17908 
A,T,HAZ_NHAZ,C10-C12,W063,LI	: 	: 	: 	0 	2 	59 	19 	19 	: 
A,T,HAZ_NHAZ,C10-C12,W063,LT	: 	: 	: 	650 	203 	164 	379 	317 	399 
A,T,HAZ_NHAZ,C10-C12,W063,LU	: 	: 	: 	30 	72 	23 	120 	82 	25 
A,T,HAZ_NHAZ,C10-C12,W063,LV	: 	: 	: 	1116 	766 	493 	517 	839 	580 
A,T,HAZ_NHAZ,C10-C12,W063,ME	: 	: 	: 	: 	3 	9 	3 	1 	32 
A,T,HAZ_NHAZ,C10-C12,W063,MK	: 	: 	: 	167 	304 	1 	171270 	1148 	910 
A,T,HAZ_NHAZ,C10-C12,W063,MT	: 	: 	: 	0 	5 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W063,NL	: 	: 	: 	13195 	12874 	19616 	15652 	17805 	33080 
A,T,HAZ_NHAZ,C10-C12,W063,NO	: 	: 	: 	4000 	3729 e	9396 e	28167 	9956 	7428 
A,T,HAZ_NHAZ,C10-C12,W063,PL	: 	: 	: 	4614 	5515 	5362 	8682 	6573 	7825 
A,T,HAZ_NHAZ,C10-C12,W063,PT	: 	: 	: 	4696 	9335 	5658 	5307 	6124 b	6136 
A,T,HAZ_NHAZ,C10-C12,W063,RO	: 	: 	: 	3038 	7102 	2164 	2550 	2852 	2276 
A,T,HAZ_NHAZ,C10-C12,W063,RS	: 	: 	: 	1419 	1150 	1175 	1507 	1260 	1564 
A,T,HAZ_NHAZ,C10-C12,W063,SE	: 	: 	: 	7071 	5568 	8726 	3924 	3076 	3658 
A,T,HAZ_NHAZ,C10-C12,W063,SI	: 	: 	: 	833 	321 	38 	1538 	337 	152 
A,T,HAZ_NHAZ,C10-C12,W063,SK	: 	: 	: 	467 	350 	546 	482 	466 	574 
A,T,HAZ_NHAZ,C10-C12,W063,TR	: 	: 	: 	4719 	: 	4823 	5968 	11468 	10597 
A,T,HAZ_NHAZ,C10-C12,W063,UK	: 	: 	: 	26181 	36412 	12549 	13395 	6940 	: 
A,T,HAZ_NHAZ,C10-C12,W063,XK	: 	: 	: 	: 	3 	2 	0 	27 	0 
A,T,HAZ_NHAZ,C10-C12,W06_07A,AT	105688 	103814 	104934 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,BE	350276 	235952 	341553 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,BG	43192 	27570 	24612 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,CY	8712 	9129 	7355 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,CZ	48439 	50233 	44677 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,DE	174767 	117615 	460649 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,DK	31929 	24066 	18560 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,EE	40436 	8057 	8077 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,EL	49026 	57520 	75010 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,ES	1000429 	533385 	310193 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,FI	26054 	26482 	31642 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,FR	419000 	518000 	566430 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,HR	28030 	146702 	14370 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,HU	84692 	96715 	62924 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,IE	42556 	20803 	40611 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,IS	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,IT	260868 	668360 	7663 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,LI	: 	: 	1339 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,LT	4756 	6469 	9438 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,LU	3098 	3368 	3999 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,LV	2485 	4932 	32105 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,MK	: 	: 	5129 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,MT	0 	39 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,NL	152330 	163365 	200832 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,NO	43578 	70280 	74596 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,PL	115778 	143333 	158530 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,PT	168148 	229159 	58513 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,RO	10922 	38948 	62224 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,SE	48898 	48898 	48898 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,SI	8198 	13702 	10613 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,SK	17620 	14460 	12453 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,TR	151873 	0 	115469 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W06_07A,UK	768941 	590795 	514816 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C10-C12,W071,AT	12615 	23452 	21304 	2524 	1062 	1406 	8295 	10174 	8146 
A,T,HAZ_NHAZ,C10-C12,W071,BA	: 	: 	: 	: 	5047 	1391 	1737 	1051 	1153 
A,T,HAZ_NHAZ,C10-C12,W071,BE	81876 	93977 	32342 	38486 	54715 	57158 	52015 	62711 	31652 
A,T,HAZ_NHAZ,C10-C12,W071,BG	9500 	8880 	6831 	3165 	6057 	3035 	2771 	3658 	104944 
A,T,HAZ_NHAZ,C10-C12,W071,CY	465 	2277 	2947 	2910 	2663 	269 	329 	315 	389 
A,T,HAZ_NHAZ,C10-C12,W071,CZ	13973 	22155 	13549 	6954 	8459 	12480 	11984 	12230 b	10521 
A,T,HAZ_NHAZ,C10-C12,W071,DE	23753 	26727 	249739 	102038 	51612 	103733 	279659 	221359 	194273 
A,T,HAZ_NHAZ,C10-C12,W071,DK	21486 	14859 	7985 	297 	7707 	12038 	1664 	2153 	2244 
A,T,HAZ_NHAZ,C10-C12,W071,EE	1752 	309 	754 	394 	544 	1002 	565 	481 	482 
A,T,HAZ_NHAZ,C10-C12,W071,EL	2700 	15710 	26684 	17948 	23959 	1416 	9658 	6353 	6493 
A,T,HAZ_NHAZ,C10-C12,W071,ES	247486 	126999 	65511 	66209 	58231 	58200 	57517 	46797 	45160 
A,T,HAZ_NHAZ,C10-C12,W071,FI	3332 	3003 	2328 	5957 	4566 	1711 	1979 	2036 	4095 
A,T,HAZ_NHAZ,C10-C12,W071,FR	16000 	46000 	76770 	60270 	48650 	48024 	44814 	45924 	32257 
A,T,HAZ_NHAZ,C10-C12,W071,HR	4572 	6385 	5334 	3626 	5988 	8216 	5019 	5572 	3765 
A,T,HAZ_NHAZ,C10-C12,W071,HU	6573 	8891 	1212 	1403 	394 	24615 	15355 	7446 	3509 
A,T,HAZ_NHAZ,C10-C12,W071,IE	2140 	978 	862 	5246 	2966 	2623 	694 	1816 	1160 
A,T,HAZ_NHAZ,C10-C12,W071,IS	0 	: 	: 	541 	319 	636 	433 	464 	387 
A,T,HAZ_NHAZ,C10-C12,W071,IT	52107 	24946 	25 	64874 	2649 	40269 	45215 	44878 	44389 
A,T,HAZ_NHAZ,C10-C12,W071,LI	: 	: 	9 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C10-C12,W071,LT	265 	737 	856 	832 	604 	1434 	843 	204 	268 
A,T,HAZ_NHAZ,C10-C12,W071,LU	471 	465 	1506 	513 	357 	503 	693 	861 	504 
A,T,HAZ_NHAZ,C10-C12,W071,LV	607 	969 	837 	1646 	578 	685 	703 	382 	424 
A,T,HAZ_NHAZ,C10-C12,W071,ME	: 	: 	: 	: 	765 	641 	200 	235 	198 
A,T,HAZ_NHAZ,C10-C12,W071,MK	: 	: 	1323 	673 	1482 	60 	742 	588 	621 
A,T,HAZ_NHAZ,C10-C12,W071,MT	0 	0 	0 	0 	0 	5 	3 	1 	3 
A,T,HAZ_NHAZ,C10-C12,W071,NL	22628 	21644 	20038 	21200 	20295 	24409 	25885 	27424 	17311 
A,T,HAZ_NHAZ,C10-C12,W071,NO	2294 	3723 	3951 	3000 	958 	6284 	7020 	7163 	6245 
A,T,HAZ_NHAZ,C10-C12,W071,PL	12495 	16628 	29600 	21055 	30839 	27024 	30634 	27117 	30437 
A,T,HAZ_NHAZ,C10-C12,W071,PT	64143 	100704 	17075 	15494 	14533 	17189 	16486 	11624 b	10097 
A,T,HAZ_NHAZ,C10-C12,W071,RO	2522 	8002 	16040 	7606 	6416 	7116 	7372 	9533 	8342 
A,T,HAZ_NHAZ,C10-C12,W071,RS	: 	: 	: 	6922 	6966 	4482 	2654 	10353 	4736 
A,T,HAZ_NHAZ,C10-C12,W071,SE	6262 	6262 	6262 	3482 	3273 	7766 	2844 	2033 	2124 
A,T,HAZ_NHAZ,C10-C12,W071,SI	1526 	4810 	2794 	1873 	1797 	0 	1604 	114 	: c
A,T,HAZ_NHAZ,C10-C12,W071,SK	1990 	2668 	2172 	1986 	1337 	2452 	753 	1038 	1267 
A,T,HAZ_NHAZ,C10-C12,W071,TR	10311 	0 	33546 	17660 	15319 	18319 	19930 	22539 	19751 
A,T,HAZ_NHAZ,C10-C12,W071,UK	34566 	50397 	33321 	20589 	7904 	13972 	31366 	6431 	: 
A,T,HAZ_NHAZ,C10-C12,W071,XK	: 	: 	: 	: 	5 	9 	2 	103 	0 
A,T,HAZ_NHAZ,C10-C12,W072,AT	31480 	35129 	26524 	30747 	22269 	21600 	22655 	26744 	27976 
A,T,HAZ_NHAZ,C10-C12,W072,BA	: 	: 	: 	: 	1629 	2066 	2014 	1769 	1658 
A,T,HAZ_NHAZ,C10-C12,W072,BE	86320 	80125 	100256 	87567 	88792 	110126 	83226 	93177 	80462 
A,T,HAZ_NHAZ,C10-C12,W072,BG	6111 	8151 	9088 	5680 	7175 	8128 	21115 	6694 	43798 
A,T,HAZ_NHAZ,C10-C12,W072,CY	4433 	3652 	2194 	2800 	2519 	1545 	2469 	2420 	4134 
A,T,HAZ_NHAZ,C10-C12,W072,CZ	13334 	12664 	14416 	14982 	15749 	16314 	19097 	23065 b	23568 
A,T,HAZ_NHAZ,C10-C12,W072,DE	118918 	70300 	116943 	114013 	85853 	92191 	94846 	84432 	97095 
A,T,HAZ_NHAZ,C10-C12,W072,DK	8274 	7343 	8232 	7271 	10680 	10636 	12883 	13122 	14510 
A,T,HAZ_NHAZ,C10-C12,W072,EE	29802 	3872 	2647 	1910 	1951 	2713 	2777 	3386 	3832 
A,T,HAZ_NHAZ,C10-C12,W072,EL	25477 	20410 	21533 	21588 	18762 	2575 	7074 	23020 	21198 
A,T,HAZ_NHAZ,C10-C12,W072,ES	143830 	233260 	119970 	124726 	131247 	130359 	131142 	100717 	128826 
A,T,HAZ_NHAZ,C10-C12,W072,FI	7053 	8591 	6590 	7240 	5828 	5493 	5159 	5851 	11348 
A,T,HAZ_NHAZ,C10-C12,W072,FR	213000 	216000 	252050 	221750 	225155 	222244 	290020 	297208 	414135 
A,T,HAZ_NHAZ,C10-C12,W072,HR	14171 	100167 	5424 	6317 	11454 	10802 	9143 	9329 	9301 
A,T,HAZ_NHAZ,C10-C12,W072,HU	31820 	44976 	17842 	14961 	10689 	24450 	32119 	26953 	18638 
A,T,HAZ_NHAZ,C10-C12,W072,IE	5190 	15493 	6183 	19379 	18173 	17892 	16784 	11382 	18365 
A,T,HAZ_NHAZ,C10-C12,W072,IS	0 	: 	: 	389 	451 	554 	692 	702 	466 
A,T,HAZ_NHAZ,C10-C12,W072,IT	120967 	521131 	1481 	207279 	9855 	146949 	148480 	163605 	164948 
A,T,HAZ_NHAZ,C10-C12,W072,LI	: 	: 	709 	482 	227 	474 	233 	261 	: 
A,T,HAZ_NHAZ,C10-C12,W072,LT	209 	1360 	2101 	2006 	9285 	8296 	8653 	8913 	10522 
A,T,HAZ_NHAZ,C10-C12,W072,LU	1792 	2000 	1893 	2198 	2148 	1485 	1424 	1768 	1827 
A,T,HAZ_NHAZ,C10-C12,W072,LV	857 	1966 	1599 	2451 	1443 	1413 	1773 	1690 	1757 
A,T,HAZ_NHAZ,C10-C12,W072,ME	: 	: 	: 	: 	2899 	212 	231 	207 	151 
A,T,HAZ_NHAZ,C10-C12,W072,MK	: 	: 	2673 	1379 	1220 	1408 	2624 	2116 	2848 
A,T,HAZ_NHAZ,C10-C12,W072,MT	0 	0 	0 	0 	1 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C10-C12,W072,NL	84200 	87052 	117304 	93432 	89475 	84727 	93576 	71249 	76252 
A,T,HAZ_NHAZ,C10-C12,W072,NO	22345 	35821 	38021 	13000 	10634 	10236 	14606 	16184 	14359 
A,T,HAZ_NHAZ,C10-C12,W072,PL	37935 	49742 	58225 	69498 	71237 	88538 	128380 	311526 	146252 
A,T,HAZ_NHAZ,C10-C12,W072,PT	24682 	61963 	21919 	19132 	17286 	20600 	23310 	23931 b	24142 
A,T,HAZ_NHAZ,C10-C12,W072,RO	2509 	6628 	19198 	10282 	13302 	15577 	18581 	22855 	23945 
A,T,HAZ_NHAZ,C10-C12,W072,RS	: 	: 	: 	7539 	8592 	10778 	14733 	15686 	14257 
A,T,HAZ_NHAZ,C10-C12,W072,SE	20459 	20459 	20459 	21185 	14206 	30638 	19781 	21150 	15150 
A,T,HAZ_NHAZ,C10-C12,W072,SI	3690 	5131 	3826 	3183 	3597 	0 	5487 	4307 	: c
A,T,HAZ_NHAZ,C10-C12,W072,SK	2880 	3164 	3463 	3030 	4338 	4911 	5806 	5319 	6660 
